Servers Removed category,Servers Removed Proactive,Servers Removed Reactive,Total Servers Removed,% Proactive
Child Safety,"16,289","1,137","17,426",93.48%
Deceptive Practices,"1,048","1,370","2,418",43.34%
Exploitative and Unsolicited Content,196,841,"1,037",18.90%
Harassment and Bullying,71,490,561,12.66%
Hateful Conduct,284,336,620,45.81%
Identity and Authenticity,3,16,19,15.79%
Misinformation,43,5,48,89.58%
Platform Manipulation,349,479,828,42.15%
Regulated or Illegal Activities,"4,594","3,023","7,617",60.31%
Self-Harm Concerns,311,234,545,57.06%
Violent and Graphic Content,639,645,"1,284",49.77%
Violent Extremism,547,282,829,65.98%
,,,,
Sum:,"24,374","8,858","33,232",73.34%